FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths
1001,Autauga County,AL,29.4,42904,6
1003,Baldwin County,AL,35.2,175680,9
1005,Barbour County,AL,28.3,19604,4
1007,Bibb County,AL,24.8,17837,1
1009,Blount County,AL,21.5,44571,4
1011,Bullock County,AL,35.8,7995,1
1013,Butler County,AL,29.3,15174,2
1015,Calhoun County,AL,31.5,89132,18
1017,Chambers County,AL,24,26341,0
1019,Cherokee County,AL,24,21249,0
1021,Chilton County,AL,25.9,33837,5
1023,Choctaw County,AL,45.5,10109,1
1025,Clarke County,AL,34.4,18589,1
1027,Clay County,AL,30.9,10566,3
1029,Cleburne County,AL,25.4,11549,2
1031,Coffee County,AL,28.9,39948,13
1033,Colbert County,AL,38.2,43686,6
1035,Conecuh County,AL,31.6,9593,2
1037,Coosa County,AL,28.5,8916,1
1039,Covington County,AL,26.4,28887,7
1041,Crenshaw County,AL,26.3,10636,0
1043,Cullman County,AL,28,64956,8
1045,Dale County,AL,41,37984,6
1047,Dallas County,AL,29.6,28521,9
1049,DeKalb County,AL,24.2,54392,5
1051,Elmore County,AL,32.4,63080,9
1053,Escambia County,AL,26.9,28407,5
1055,Etowah County,AL,29.9,80492,14
1057,Fayette County,AL,25.9,12869,1
1059,Franklin County,AL,33.8,23590,-1
1061,Geneva County,AL,29.7,20504,6
1063,Greene County,AL,38.7,6343,0
1065,Hale County,AL,45.3,11279,2
1067,Henry County,AL,32.6,13697,0
1069,Houston County,AL,33.1,81594,9
1071,Jackson County,AL,36.1,40943,4
1073,Jefferson County,AL,44.2,508723,53
1075,Lamar County,AL,31.9,10853,4
1077,Lauderdale County,AL,37.3,74683,13
1079,Lawrence County,AL,38,25831,2
1081,Lee County,AL,32.9,129821,9
1083,Limestone County,AL,27.6,76842,8
1085,Lowndes County,AL,36.4,7587,1
1087,Macon County,AL,35.6,14972,3
1089,Madison County,AL,50,292195,25
1091,Marengo County,AL,36.5,14616,2
1093,Marion County,AL,27.3,23539,6
1095,Marshall County,AL,33.1,72438,9
1097,Mobile County,AL,34.7,316868,35
1099,Monroe County,AL,31.2,16360,1
1101,Montgomery County,AL,39.9,173598,29
1103,Morgan County,AL,35.7,92334,8
1105,Perry County,AL,36.5,7056,1
1107,Pickens County,AL,35.4,16066,3
1109,Pike County,AL,28.5,26819,1
1111,Randolph County,AL,27.2,17925,3
1113,Russell County,AL,29.6,43974,4
1115,St. Clair County,AL,28.1,69336,13
1117,Shelby County,AL,26.6,167202,9
1119,Sumter County,AL,37.6,10067,0
1121,Talladega County,AL,26.3,63273,10
1123,Tallapoosa County,AL,29.2,32134,5
1125,Tuscaloosa County,AL,31.1,165385,13
1127,Walker County,AL,35.6,49388,3
1129,Washington County,AL,30,12722,0
1131,Wilcox County,AL,35.7,7954,3
1133,Winston County,AL,16.5,18864,0
2013,Aleutians East Borough,AK,68.2,3084,0
2016,Aleutians West Census Area,AK,52.2,4993,0
2020,Anchorage Municipality,AK,56.5,218802,5
2050,Bethel Census Area,AK,70.6,11848,1
2060,Bristol Bay Borough,AK,92.4,687,0
2068,Denali Borough,AK,47.9,1698,0
2070,Dillingham Census Area,AK,50.7,3371,0
2090,Fairbanks North Star Borough,AK,47.5,73845,7
2100,Haines Borough,AK,67.6,2074,0
2110,Juneau City and Borough,AK,70.7,25225,0
2122,Kenai Peninsula Borough,AK,44.9,45527,0
2130,Ketchikan Gateway Borough,AK,61.3,10884,0
2150,Kodiak Island Borough,AK,62.6,9757,1
2158,Kusilvak Census Area,AK,74.6,4874,0
2164,Lake and Peninsula Borough,AK,60.1,1136,0
2170,Matanuska-Susitna Borough,AK,35.3,79732,13
2180,Nome Census Area,AK,76.6,6544,0
2185,North Slope Borough,AK,35.9,7201,0
2188,Northwest Arctic Borough,AK,60.2,4862,0
2195,Petersburg Census Area,AK,73.5,2605,0
2198,Prince of Wales-Hyder Census Area,AK,51.8,4821,1
2220,Sitka City and Borough,AK,72.8,6740,1
2230,Skagway Municipality,AK,69.5,1001,0
2240,Southeast Fairbanks Census Area,AK,29.1,5175,1
2261,Valdez-Cordova Census Area,AK,56.4,7054,0
2275,Wrangell City and Borough,AK,57.5,2009,0
2282,Yakutat City and Borough,AK,74.6,477,0
2290,Yukon-Koyukuk Census Area,AK,70.8,3771,0
4001,Apache County,AZ,68.6,52462,8
4003,Cochise County,AZ,52.3,98949,9
4005,Coconino County,AZ,65.4,114726,2
4007,Gila County,AZ,54.1,43364,2
4009,Graham County,AZ,57.9,28485,7
4011,Greenlee County,AZ,41.9,6929,0
4012,La Paz County,AZ,42.1,17602,-2
4013,Maricopa County,AZ,49.4,3432976,404
4015,Mohave County,AZ,34.2,176822,37
4017,Navajo County,AZ,56.9,81804,20
4019,Pima County,AZ,60.1,831972,32
4021,Pinal County,AZ,44.5,360425,35
4023,Santa Cruz County,AZ,93.1,34123,4
4025,Yavapai County,AZ,40.2,197624,25
4027,Yuma County,AZ,58.4,160218,15
5001,Arkansas County,AR,45.2,13479,2
5003,Ashley County,AR,40,15259,1
5005,Baxter County,AR,39,34462,1
5007,Benton County,AR,43.5,206487,9
5009,Boone County,AR,30.1,28890,0
5011,Bradley County,AR,47,8180,1
5013,Calhoun County,AR,27.4,4208,0
5015,Carroll County,AR,36.2,22300,1
5017,Chicot County,AR,46,7901,0
5019,Clark County,AR,39.2,18082,0
5021,Clay County,AR,39,11465,2
5023,Cleburne County,AR,36.5,20222,0
5025,Cleveland County,AR,40.9,6240,0
5027,Columbia County,AR,35.3,18617,1
5029,Conway County,AR,46.2,16141,2
5031,Craighead County,AR,34.6,82756,8
5033,Crawford County,AR,33.7,47861,1
5035,Crittenden County,AR,33.5,34983,1
5037,Cross County,AR,40,12613,1
5039,Dallas County,AR,45.6,5538,1
5041,Desha County,AR,48.6,8491,-1
5043,Drew County,AR,38.5,14284,2
5045,Faulkner County,AR,40.5,97276,5
5047,Franklin County,AR,39.7,13756,1
5049,Fulton County,AR,27,9843,0
5051,Garland County,AR,36.5,79575,5
5053,Grant County,AR,36.2,14245,4
5055,Greene County,AR,35.3,34308,3
5057,Hempstead County,AR,24.6,15992,0
5059,Hot Spring County,AR,33.7,26808,5
5061,Howard County,AR,40.5,9749,0
5063,Independence County,AR,32.3,28564,1
5065,Izard County,AR,28.9,11181,1
5067,Jackson County,AR,31.3,13358,0
5069,Jefferson County,AR,30.9,52303,4
5071,Johnson County,AR,38,20060,0
5073,Lafayette County,AR,29.2,5401,0
5075,Lawrence County,AR,34.1,12772,0
5077,Lee County,AR,27.8,7226,3
5079,Lincoln County,AR,26.1,10905,0
5081,Little River County,AR,24.9,9507,1
5083,Logan County,AR,36.1,16897,3
5085,Lonoke County,AR,39.2,54692,6
5087,Madison County,AR,33.4,12727,0
5089,Marion County,AR,28.4,13660,0
5091,Miller County,AR,10.9,33187,1
5093,Mississippi County,AR,32.8,30043,3
5095,Monroe County,AR,42.4,5328,1
5097,Montgomery County,AR,32.1,7323,0
5099,Nevada County,AR,28.3,6367,0
5101,Newton County,AR,26.6,6257,0
5103,Ouachita County,AR,41.9,18168,2
5105,Perry County,AR,42.9,8097,1
5107,Phillips County,AR,39.4,13206,6
5109,Pike County,AR,32.6,8406,1
5111,Poinsett County,AR,33.5,17949,0
5113,Polk County,AR,27.7,15424,2
5115,Pope County,AR,39.9,49561,4
5117,Prairie County,AR,32.1,6412,1
5119,Pulaski County,AR,48.8,301549,25
5121,Randolph County,AR,25.1,13691,1
5123,St. Francis County,AR,38,19758,2
5125,Saline County,AR,40.9,94180,7
5127,Scott County,AR,31.8,7919,0
5129,Searcy County,AR,32.3,6342,0
5131,Sebastian County,AR,32.4,97154,13
5133,Sevier County,AR,36.1,12141,0
5135,Sharp County,AR,31.8,13861,2
5137,Stone County,AR,33.2,10119,1
5139,Union County,AR,38.5,29416,1
5141,Van Buren County,AR,36.1,13327,1
5143,Washington County,AR,43.7,181437,10
5145,White County,AR,36.5,60632,6
5147,Woodruff County,AR,47,4968,1
5149,Yell County,AR,37.9,16163,1
6001,Alameda County,CA,72.7,1331230,-14
6003,Alpine County,CA,0,929,0
6005,Amador County,CA,43.5,33742,0
6007,Butte County,CA,46.4,174793,3
6009,Calaveras County,CA,44.4,38077,5
6011,Colusa County,CA,51.8,15706,1
6013,Contra Costa County,CA,73.3,894879,18
6015,Del Norte County,CA,34.9,21990,2
