FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths
1001,Autauga County,AL,26.3,42904,3
1003,Baldwin County,AL,30.9,175680,5
1005,Barbour County,AL,22.7,19604,3
1007,Bibb County,AL,20.6,17837,1
1009,Blount County,AL,19.1,44571,4
1011,Bullock County,AL,33,7995,1
1013,Butler County,AL,27.1,15174,2
1015,Calhoun County,AL,28.3,89132,12
1017,Chambers County,AL,22.4,26341,0
1019,Cherokee County,AL,22.3,21249,0
1021,Chilton County,AL,22.2,33837,4
1023,Choctaw County,AL,40.5,10109,1
1025,Clarke County,AL,31.8,18589,1
1027,Clay County,AL,28.2,10566,1
1029,Cleburne County,AL,23.6,11549,1
1031,Coffee County,AL,25.4,39948,6
1033,Colbert County,AL,35.4,43686,3
1035,Conecuh County,AL,29.7,9593,2
1037,Coosa County,AL,25.8,8916,1
1039,Covington County,AL,23.3,28887,2
1041,Crenshaw County,AL,24.4,10636,0
1043,Cullman County,AL,25.8,64956,5
1045,Dale County,AL,37.1,37984,3
1047,Dallas County,AL,26.4,28521,4
1049,DeKalb County,AL,21.7,54392,3
1051,Elmore County,AL,28.4,63080,3
1053,Escambia County,AL,24.7,28407,2
1055,Etowah County,AL,27.3,80492,7
1057,Fayette County,AL,23.8,12869,0
1059,Franklin County,AL,31.5,23590,0
1061,Geneva County,AL,27.2,20504,6
1063,Greene County,AL,35.8,6343,0
1065,Hale County,AL,42.1,11279,2
1067,Henry County,AL,30.6,13697,-1
1069,Houston County,AL,30.2,81594,5
1071,Jackson County,AL,33.2,40943,2
1073,Jefferson County,AL,40.3,508723,23
1075,Lamar County,AL,30,10853,3
1077,Lauderdale County,AL,34.7,74683,7
1079,Lawrence County,AL,35.4,25831,2
1081,Lee County,AL,31,129821,5
1083,Limestone County,AL,25.2,76842,6
1085,Lowndes County,AL,33,7587,1
1087,Macon County,AL,32.8,14972,1
1089,Madison County,AL,44.9,292195,12
1091,Marengo County,AL,33.9,14616,1
1093,Marion County,AL,25.4,23539,2
1095,Marshall County,AL,29.5,72438,5
1097,Mobile County,AL,31.1,316868,11
1099,Monroe County,AL,28.6,16360,1
1101,Montgomery County,AL,36.1,173598,15
1103,Morgan County,AL,32.5,92334,4
1105,Perry County,AL,34.7,7056,0
1107,Pickens County,AL,31.8,16066,3
1109,Pike County,AL,25.8,26819,0
1111,Randolph County,AL,25.3,17925,2
1113,Russell County,AL,26.5,43974,2
1115,St. Clair County,AL,24.7,69336,10
1117,Shelby County,AL,23.9,167202,7
1119,Sumter County,AL,34.7,10067,0
1121,Talladega County,AL,23,63273,5
1123,Tallapoosa County,AL,26,32134,3
1125,Tuscaloosa County,AL,27.9,165385,6
1127,Walker County,AL,32.2,49388,-1
1129,Washington County,AL,27.6,12722,0
1131,Wilcox County,AL,33.2,7954,2
1133,Winston County,AL,15,18864,1
2013,Aleutians East Borough,AK,66.4,3084,0
2016,Aleutians West Census Area,AK,41.3,4993,0
2020,Anchorage Municipality,AK,53.3,218802,3
2050,Bethel Census Area,AK,68.3,11848,1
2060,Bristol Bay Borough,AK,86,687,0
2068,Denali Borough,AK,45.8,1698,0
2070,Dillingham Census Area,AK,49.1,3371,0
2090,Fairbanks North Star Borough,AK,42,73845,6
2100,Haines Borough,AK,65.5,2074,0
2110,Juneau City and Borough,AK,68.2,25225,0
2122,Kenai Peninsula Borough,AK,42.9,45527,0
2130,Ketchikan Gateway Borough,AK,56.9,10884,0
2150,Kodiak Island Borough,AK,60,9757,1
2158,Kusilvak Census Area,AK,70.7,4874,0
2164,Lake and Peninsula Borough,AK,58.5,1136,0
2170,Matanuska-Susitna Borough,AK,32.7,79732,10
2180,Nome Census Area,AK,74,6544,0
2185,North Slope Borough,AK,34.7,7201,0
2188,Northwest Arctic Borough,AK,57.2,4862,0
2195,Petersburg Census Area,AK,71,2605,0
2198,Prince of Wales-Hyder Census Area,AK,46.7,4821,0
2220,Sitka City and Borough,AK,70.4,6740,0
2230,Skagway Municipality,AK,68.5,1001,0
2240,Southeast Fairbanks Census Area,AK,28.1,5175,1
2261,Valdez-Cordova Census Area,AK,53.5,7054,0
2275,Wrangell City and Borough,AK,55.3,2009,0
2282,Yakutat City and Borough,AK,73.2,477,0
2290,Yukon-Koyukuk Census Area,AK,69.4,3771,0
4001,Apache County,AZ,66,52462,4
4003,Cochise County,AZ,47.7,98949,4
4005,Coconino County,AZ,62.4,114726,1
4007,Gila County,AZ,52.1,43364,2
4009,Graham County,AZ,54.4,28485,5
4011,Greenlee County,AZ,40.8,6929,0
4012,La Paz County,AZ,39.7,17602,0
4013,Maricopa County,AZ,44.7,3432976,195
4015,Mohave County,AZ,31.1,176822,20
4017,Navajo County,AZ,54.2,81804,8
4019,Pima County,AZ,56,831972,16
4021,Pinal County,AZ,40.5,360425,20
4023,Santa Cruz County,AZ,82.8,34123,4
4025,Yavapai County,AZ,37.8,197624,5
4027,Yuma County,AZ,52.3,160218,6
5001,Arkansas County,AR,42.6,13479,1
5003,Ashley County,AR,36.9,15259,1
5005,Baxter County,AR,36.6,34462,1
5007,Benton County,AR,39.4,206487,5
5009,Boone County,AR,28,28890,0
5011,Bradley County,AR,44.2,8180,0
5013,Calhoun County,AR,26.2,4208,0
5015,Carroll County,AR,34.1,22300,1
5017,Chicot County,AR,42.3,7901,0
5019,Clark County,AR,36.8,18082,0
5021,Clay County,AR,36.9,11465,2
5023,Cleburne County,AR,34.3,20222,1
5025,Cleveland County,AR,39.1,6240,0
5027,Columbia County,AR,33.2,18617,0
5029,Conway County,AR,43.3,16141,1
5031,Craighead County,AR,32.4,82756,4
5033,Crawford County,AR,30.7,47861,1
5035,Crittenden County,AR,30.5,34983,1
5037,Cross County,AR,37.7,12613,0
5039,Dallas County,AR,43.2,5538,0
5041,Desha County,AR,45.9,8491,0
5043,Drew County,AR,36.5,14284,2
5045,Faulkner County,AR,38.2,97276,1
5047,Franklin County,AR,37.5,13756,1
5049,Fulton County,AR,25.6,9843,0
5051,Garland County,AR,34.4,79575,2
5053,Grant County,AR,33.5,14245,1
5055,Greene County,AR,33.2,34308,2
5057,Hempstead County,AR,22.7,15992,0
5059,Hot Spring County,AR,31.6,26808,2
5061,Howard County,AR,37.9,9749,0
5063,Independence County,AR,27.1,28564,1
5065,Izard County,AR,26.8,11181,1
5067,Jackson County,AR,29.9,13358,0
5069,Jefferson County,AR,28.5,52303,1
5071,Johnson County,AR,35.5,20060,0
5073,Lafayette County,AR,27.2,5401,0
5075,Lawrence County,AR,32.1,12772,0
5077,Lee County,AR,25.8,7226,1
5079,Lincoln County,AR,24.6,10905,0
5081,Little River County,AR,23.2,9507,0
5083,Logan County,AR,33.8,16897,3
5085,Lonoke County,AR,36.3,54692,2
5087,Madison County,AR,30.7,12727,0
5089,Marion County,AR,26.4,13660,0
5091,Miller County,AR,9.9,33187,1
5093,Mississippi County,AR,30.2,30043,2
5095,Monroe County,AR,39.8,5328,0
5097,Montgomery County,AR,30.5,7323,0
5099,Nevada County,AR,26.6,6367,0
5101,Newton County,AR,25,6257,0
5103,Ouachita County,AR,39,18168,2
5105,Perry County,AR,40.3,8097,0
5107,Phillips County,AR,36.6,13206,5
5109,Pike County,AR,29.8,8406,0
5111,Poinsett County,AR,31.1,17949,0
5113,Polk County,AR,26.3,15424,2
5115,Pope County,AR,36.8,49561,2
5117,Prairie County,AR,29.3,6412,0
5119,Pulaski County,AR,45.7,301549,11
5121,Randolph County,AR,22.7,13691,0
5123,St. Francis County,AR,35.5,19758,2
5125,Saline County,AR,38.3,94180,5
5127,Scott County,AR,29,7919,0
5129,Searcy County,AR,29.9,6342,1
5131,Sebastian County,AR,28.4,97154,9
5133,Sevier County,AR,34.1,12141,0
5135,Sharp County,AR,29.2,13861,1
5137,Stone County,AR,31.3,10119,0
5139,Union County,AR,35.4,29416,1
